msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,browser,web_server,GET / HTTP/1.1\nHost: example.com,0.01
2,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: text/html,0.02
3,HTTP,browser,web_server,GET /style.css HTTP/1.1\nHost: example.com,0.03
4,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: text/css,0.04
5,HTTP,browser,web_server,GET /main.js HTTP/1.1\nHost: example.com,0.05
6,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: application/javascript,0.06
7,HTTP,browser,web_server,GET /logo.png HTTP/1.1\nHost: example.com,0.07
8,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: image/png,0.08
9,HTTP,browser,web_server,GET /fonts/main.woff2 HTTP/1.1\nHost: example.com,0.09
10,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: font/woff2,0.1
11,HTTP,browser,web_server,GET /api/user HTTP/1.1\nHost: example.com,0.12
12,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: application/json,0.135
13,HTTP,browser,web_server,POST /api/login HTTP/1.1\nHost: example.com\nusername=alice,0.16
14,HTTP,web_server,browser,HTTP/1.1 200 OK\nSet-Cookie: session=abc123,0.175
15,HTTP,browser,web_server,GET /dashboard HTTP/1.1\nHost: example.com,0.2
16,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: text/html,0.215
17,HTTP,browser,web_server,GET /dashboard.js HTTP/1.1\nHost: example.com,0.23
18,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: application/javascript,0.245
19,HTTP,browser,web_server,GET /avatar.png HTTP/1.1\nHost: example.com,0.26
20,HTTP,web_server,browser,HTTP/1.1 200 OK\nContent-Type: image/png,0.275
